Geo,D4c,Year
530330117003,6.0,2018
530330117004,26.0,2018
530330118011,17.0,2018
530330118012,17.0,2018
530330118013,31.0,2018
530330118021,10.0,2018
530330118022,10.0,2018
530330118023,24.0,2018
530330119011,14.0,2018
530330119012,6.0,2018
530330119013,35.0,2018
530330119021,10.0,2018
530330119022,14.0,2018
530330119023,8.0,2018
530330120001,13.0,2018
530330120002,1.0,2018
530330120003,1.0,2018
530330121001,1.0,2018
530330121002,1.0,2018
530330209002,17.0,2018
530330210002,6.0,2018
530330210003,19.0,2018
530330211003,22.0,2018
530330213002,23.0,2018
530330260011,6.0,2018
530330260013,14.0,2018
530330261011,34.0,2018
530330261012,16.0,2018
530330261021,14.0,2018
530330263001,68.0,2018
530330264001,21.0,2018
530330264003,9.0,2018
530330264004,4.0,2018
530330265001,17.0,2018
530330265002,29.0,2018
530330266001,17.0,2018
530330266002,1.0,2018
530330267004,0.0,2018
530330017024,0.0,2018
530330029002,0.0,2018
530330031002,0.0,2018
530330041011,0.0,2018
530330043022,0.0,2018
530330047011,0.0,2018
530330047023,0.0,2018
530330053071,0.0,2018
530330053072,0.0,2018
530330053073,0.0,2018
530330059021,0.0,2018
530330071022,0.0,2018
530330075022,0.0,2018
530330001011,35.0,2050
530330001012,48.0,2050
530330001013,48.0,2050
530330001021,13.0,2050
530330001022,61.0,2050
530330001023,74.0,2050
530330002011,80.0,2050
530330002012,39.0,2050
530330002013,39.0,2050
530330002021,13.0,2050
530330002022,26.0,2050
530330002023,25.0,2050
530330003001,107.0,2050
530330003002,49.0,2050
530330004021,22.0,2050
530330004022,24.0,2050
530330004023,22.0,2050
530330004024,22.0,2050
530330004031,12.0,2050
530330004032,23.0,2050
530330004041,47.0,2050
530330004042,23.0,2050
530330004043,37.0,2050
530330005001,12.0,2050
530330005002,12.0,2050
530330006011,39.0,2050
530330006012,64.0,2050
530330006013,26.0,2050
530330006021,45.0,2050
530330006022,32.0,2050
530330006023,46.0,2050
530330007001,19.0,2050
530330007002,74.0,2050
530330007003,74.0,2050
530330007004,48.0,2050
530330008001,26.0,2050
530330008002,26.0,2050
530330009001,13.0,2050
530330009002,13.0,2050
530330010001,35.0,2050
530330010002,13.0,2050
530330011001,48.0,2050
530330011002,61.0,2050
530330012011,52.0,2050
530330012012,73.0,2050
530330012013,143.0,2050
530330012021,51.0,2050
530330012022,51.0,2050
530330012023,39.0,2050
530330013001,22.0,2050
530330013002,38.0,2050
530330013003,24.0,2050
530330014001,22.0,2050
530330014002,36.0,2050
530330014003,26.0,2050
530330014004,14.0,2050
530330015001,34.0,2050
530330015002,20.0,2050
530330016001,4.0,2050
530330016002,26.0,2050
530330016003,39.0,2050
530330017011,35.0,2050
530330017012,10.0,2050
530330017013,24.0,2050
530330017021,14.0,2050
530330017022,37.0,2050
530330017023,26.0,2050
530330018001,35.0,2050
530330018002,49.0,2050
530330018003,24.0,2050
530330019001,26.0,2050
530330019002,65.0,2050
530330019003,117.0,2050
530330019004,116.0,2050
530330020001,48.0,2050
530330020002,25.0,2050
530330020003,25.0,2050
530330021001,13.0,2050
530330021002,24.0,2050
530330021003,37.0,2050
530330022001,26.0,2050
530330022002,13.0,2050
530330022003,32.0,2050
530330022004,33.0,2050
530330024001,13.0,2050
530330024002,21.0,2050
530330025001,32.0,2050
530330025002,36.0,2050
530330026001,24.0,2050
530330026002,109.0,2050
530330026003,106.0,2050
530330026004,44.0,2050
530330027001,77.0,2050
530330027002,61.0,2050
530330027003,43.0,2050
530330027004,45.0,2050
530330028001,42.0,2050
530330028002,42.0,2050
530330028003,42.0,2050
530330028004,47.0,2050
530330029001,31.0,2050
530330029003,6.0,2050
530330030001,37.0,2050
530330030002,25.0,2050
530330030003,13.0,2050
530330030004,13.0,2050
530330031001,14.0,2050
530330031003,14.0,2050
530330031004,8.0,2050
530330031005,8.0,2050
530330032011,27.0,2050
530330032012,7.0,2050
530330032013,41.0,2050
530330032021,14.0,2050
530330032022,14.0,2050
530330032023,8.0,2050
530330033011,13.0,2050
530330033012,13.0,2050
530330033013,14.0,2050
530330033021,20.0,2050
530330033022,33.0,2050
530330033023,13.0,2050
530330034001,20.0,2050
530330034002,14.0,2050
530330034003,39.0,2050
530330035001,42.0,2050
530330035002,42.0,2050
530330035003,34.0,2050
530330036011,63.0,2050
530330036012,22.0,2050
530330036013,29.0,2050
530330036021,114.0,2050
530330036022,22.0,2050
530330036023,106.0,2050
530330038001,33.0,2050
530330038002,44.0,2050
530330039001,33.0,2050
530330039002,16.0,2050
530330040001,39.0,2050
530330040002,20.0,2050
530330041011,6.0,2050
530330041012,13.0,2050
530330041013,72.0,2050
530330041021,39.0,2050
530330041022,27.0,2050
530330041023,10.0,2050
530330042011,33.0,2050
530330042012,53.0,2050
530330042013,33.0,2050
530330042021,72.0,2050
530330042022,21.0,2050
530330042023,33.0,2050
530330043011,96.0,2050
530330043012,32.0,2050
530330043013,32.0,2050
530330043021,24.0,2050
530330043022,32.0,2050
530330043023,8.0,2050
530330044011,33.0,2050
530330044012,126.0,2050
530330044013,40.0,2050
530330044021,140.0,2050
530330044022,88.0,2050
530330044023,76.0,2050
530330045001,34.0,2050
530330045002,29.0,2050
530330046001,28.0,2050
530330046002,12.0,2050
530330046003,12.0,2050
530330047012,73.0,2050
530330047013,41.0,2050
530330047021,13.0,2050
530330047022,66.0,2050
530330047031,39.0,2050
530330047032,73.0,2050
530330047033,14.0,2050
530330048001,19.0,2050
530330048002,19.0,2050
530330048003,14.0,2050
530330048004,19.0,2050
530330049011,53.0,2050
530330049012,29.0,2050
530330049013,41.0,2050
530330049021,34.0,2050
530330049022,73.0,2050
530330050001,43.0,2050
530330050002,24.0,2050
530330050003,43.0,2050
530330051001,31.0,2050
530330051002,13.0,2050
530330051003,13.0,2050
530330052011,43.0,2050
530330052012,36.0,2050
530330052013,47.0,2050
530330052021,44.0,2050
530330052022,55.0,2050
530330052023,18.0,2050
530330053031,135.0,2050
530330053032,245.0,2050
530330053042,92.0,2050
530330053051,182.0,2050
530330053052,52.0,2050
530330053061,165.0,2050
530330053062,75.0,2050
530330054011,24.0,2050
530330054012,13.0,2050
530330054013,25.0,2050
530330054021,13.0,2050
530330054022,12.0,2050
530330054023,12.0,2050
530330056001,11.0,2050
530330056002,11.0,2050
530330056003,35.0,2050
530330056004,23.0,2050
530330056005,48.0,2050
530330057001,42.0,2050
530330057002,24.0,2050
530330057003,48.0,2050
530330057004,24.0,2050
530330057005,24.0,2050
530330058011,25.0,2050
530330058012,12.0,2050
530330058013,24.0,2050
530330058014,81.0,2050
530330058031,13.0,2050
530330058032,48.0,2050
530330058041,136.0,2050
530330058042,24.0,2050
